Project Requested,scientific_name,Point of Contact for Submission,Email,Common Name,Survey Type,Kingdom,Phylum,Class,Order,Family,Genus,Specific epithet,Notes
NC_RockyIt,Alaria marginata,,,,,Plantae,Heterokontophyta,Phaeophyceae,Laminariales,Alariaceae,alaria,marginata,
NC_RockyIt,alia spp,,,,,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,alia,spp,
NC_RockyIt,amphissa spp,,,,,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,amphissa,spp,"changed description from amphissa versicolor to amphissa spp. starting SP10, changed six letter code from AMPVER to AMPSPP in FA11 to match class table"
NC_RockyIt,Analipus japonicus,,,,,Plantae,Heterokontophyta,Phaeophyceae,Ectocarpales,Chordariaceae,analipus,japonicus,
NC_RockyIt,Anthopleura elegantissima,,,,,Animalia,Cnidaria,Anthozoa,Actinaria,Actiniidae,anthopleura,elegantissima,
NC_RockyIt,aplysia californica,,,,,Animalia,Mollusca,Gastropoda,Anaspidea,Aplysiidae,aplysia,californica,
NC_RockyIt,Articulated corallines,,,,,Plantae,Rhodophyta,Rhodophyceae,Corallinales,Corallinaceae,,,
NC_RockyIt,asterina miniata,,,,,,Animalia,Echinodermata,Asteroidea,Asterinidae,asterina,miniata,
NC_RockyIt,bittium spp,,,,,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Cerithiidae,bittium,spp,"changed code from BITESC to BITSPP starting FA11, changed description from bittium eschrictii to bittium spp (species not always reliably identified to species)"
NC_RockyIt,calliostoma ligatum,,,,,,Animalia,Mollusca,Gastropoda,Calliostomatidae,calliostoma,ligatum,"added Aug, 2012 based on SSSC data"
NC_RockyIt,calliostoma spp,,,,,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Calliostomatidae,calliostoma,spp,
NC_RockyIt,Callithamnion pikeanum,,,,,Plantae,Rhodophyta,Rhodophyceae,Ceramiales,Ceramiaceae,callithamnion,pikeanum,
NC_RockyIt,ceratostoma nuttalli,,,,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,ceratostoma,nuttalli,
NC_RockyIt,chitons,,,,,Animalia,Mollusca,Polyplacophora,,,,,
NC_RockyIt,Cladophora columbiana,,,,,Plantae,Chlorophyta,Chlorophyceae,Cladophorales,Cladophoraceae,cladophora,columbiana,
NC_RockyIt,Cobble,,,,,.,.,.,.,.,.,.,
NC_RockyIt,conus californicus,,,,,Animalia,Mollusca,Gastropoda,Neogastropoda,Conidae,conus,californicus,
NC_RockyIt,crepidula spp,,,,,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Calyptraeidae,crepidula,spp,
NC_RockyIt,Crustose corallines,,,,,Plantae,Rhodophyta,Rhodophyceae,Corallinales,Corallinaceae,,,
NC_RockyIt,dermasterias imbricata,,,,,Animalia,Echinodermata,Asteroidea,Spinulosida,Poraniidae,dermasterias,imbricata,
NC_RockyIt,Egregia menziesii,,,,,Plantae,Heterokontophyta,Phaeophyceae,Laminariales,Alariaceae,egregia,menziesii,
NC_RockyIt,epitonium tinctum,,,,,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Epitoniidae,epitonium,tinctum,
NC_RockyIt,evasterias troschelii,,,,,Animalia,Echinodermata,Asteroidea,,,evasterias,troschelii,"added Aug, 2012 based on SSSC data"
NC_RockyIt,fissurella volcano,,,,,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Fissurellidae,fissurella,volcano,
NC_RockyIt,flatworm,,,,,Animalia,Platyhelminthes,,,,,,
NC_RockyIt,Gelidium coulteri,,,,,,Plantae,Rhodophyta,Florideophyceae,Gelidiaceae,gelidium,coulteri,
NC_RockyIt,Haliotis,,,,,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Haliotididae,haliotis,,
NC_RockyIt,haliotis cracherodii,,,,,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Haliotididae,haliotis,cracherodii,
NC_RockyIt,haliotis rufescens,,,,,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Haliotididae,haliotis,rufescens,
NC_RockyIt,hemigrapsus nudus,,,,,Animalia,Anthropoda,Malacostraca,Decapoda,Varunidae,hemigrapsus,nudus,
NC_RockyIt,hemigrapsus oregonensis,,,,,Animalia,Anthropoda,Malacostraca,Decapoda,Varunidae,hemigrapsus,oregonensis,"added Oct, 2011 based on OCNMS data"
NC_RockyIt,henricia spp,,,,,Animalia,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,henricia,spp,
NC_RockyIt,hermit crabs,,,,,Animalia,Arthropoda,Malacostraca,Decapoda,,,,
NC_RockyIt,homalopoma spp,,,,,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Trubinidae,homalopoma,spp,
NC_RockyIt,idotea spp,,,,,Animalia,Anthropoda,Malacostraca,Isopoda,Idoteidae,idotea,spp,UCSC/PISCO/RNSP started counting in 2008
NC_RockyIt,juvenile unidentified brittlestar,,,,,Animalia,Echinodermata,Ophiuroidea,,,,,
NC_RockyIt,katharina tunicata,,,,,Animalia,Mollusca,Polyplacophora,Neoloricata,Mopaliidae,katharina,tunicata,"seen in PBNERR Plots, added to motile_counts in Feb, 2012"
NC_RockyIt,kelletia kelletii,,,,,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,kelletia,kelletii,
NC_RockyIt,lacuna spp,,,,,,Animalia,Mollusca,Gastropoda,Littorinidae,lacuna,spp,"added Aug, 2012 based on SSSC data"
NC_RockyIt,lepidochitona dentiens,,,,,Animalia,Mollusca,Polyplacophora,Neoloricata,Lepidochitonidae,lepidochitona,dentiens,
NC_RockyIt,lepidochitona spp,,,,,Animalia,Mollusca,Polyplacophora,Neoloricata,Lepidochitonidae,lepidochitona,spp,
NC_RockyIt,lepidozona spp,,,,,Animalia,Mollusca,Polyplacophora,Neoloricata,Ischnochitonidae,lepidozona,spp,
NC_RockyIt,leptasterias spp,,,,,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,leptasterias,spp,
NC_RockyIt,limpets 5-15 mm in size on all substrate,,,,,Animalia,Mollusca,,,,,,"these values are copied from limpet_litt, and are used for all groups from now on - combined medium limpets on rock/mussel as of 10/2/09 and removed LMDROC, LMDMUS categories. LMDALL previously only used for CINP from 4/30/09 on."
NC_RockyIt,limpets under 5 mm in size on all substrate,,,,,Animalia,Mollusca,,,,,,"these values are copied from limpet_litt, and are used for all groups from now on - combined small limpets on rock/mussel as of 10/2/09 and removed LSMROC, LSMMUS categories. LSMALL previously only used for CINP from 4/30/09 on."
NC_RockyIt,limpets unsized on all substrate,,,,,Animalia,Mollusca,,,,,,"used by CINP from FA99 to SP02, also used by PISCO for FA99 (before size categories used)"
NC_RockyIt,lirabuccinum dirum,,,,,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Lirabuccinum,dirum,"added 05/09 b/c of high abundance in WA, formerly named Searlesia dira"
NC_RockyIt,littorina spp,,,,,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Littorinidae,littorina,spp,these values are copied from limpet_litt
NC_RockyIt,lottia gigantea,,,,,Animalia,Mollusca,Gastropoda,Patellogastropoda,Lottiidae,lottia,gigantea,
NC_RockyIt,macron lividus,,,,,Animalia,Mollusca,Gastropoda,Neogastropoda,Pseudolividae,macron,lividus,
NC_RockyIt,Mastocarpus papillatus,,,,,Plantae,Rhodophyta,Rhodophyceae,Gigartinales,Petrocelidaceae,mastocarpus,papillatus,
NC_RockyIt,Microcladia borealis,,,,,,Plantae,Rhodophyta,Florideophyceae,Ceramiaceae,microcladia,borealis,
NC_RockyIt,mopalia spp,,,,,Animalia,Mollusca,Polyplacophora,Neoloricata,Mopaliidae,mopalia,spp,
NC_RockyIt,mytilus californianus,,,,,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,mytilus,californianus,
NC_RockyIt,Neorhodomela larix,,,,,Plantae,Rhodophyta,Rhodophyceae,Ceramiales,Rhodomelaceae,neorhodomela,larix,
NC_RockyIt,Non-coralline crusts,,,,,Plantae,,,,,,,
NC_RockyIt,norrisia norrisi,,,,,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Trochidae,norrisia,norrisi,
NC_RockyIt,nucella emarginata/ostrina,,,,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,nucella,emarginata,"changed to slashed category since overlap occurs in sampling region. WA is only n. ostrina, but still included in this lumped category"
NC_RockyIt,nucella lamellosa,,,,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,nucella,lamellosa,
NC_RockyIt,nucella spp,,,,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,nucella,spp,
NC_RockyIt,nuttallina spp,,,,,Animalia,Mollusca,Polyplacophora,Neoloricata,Ischnochitonidae,nuttallina,spp,
NC_RockyIt,ocenebra circumtexta,,,,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,ocenebra,circumtexta,
NC_RockyIt,ocenebra poulsoni,,,,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,ocenebra,poulsoni,
NC_RockyIt,ocenebra spp,,,,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,ocenebra,spp,"use for other species of ocenebra and/or those not identified to species, NOT as a sum of all species of ocenebra (added 10/2008)"
NC_RockyIt,onchidella borealis,,,,,Animalia,Mollusca,Gastropoda,Systellommatophora,Onchidiidae,onchidella,borealis,
NC_RockyIt,onchidoris bilamellata,,,,,Animalia,Mollusca,Gastropoda,Systellommatophora  ,Onchidorididae,onchidoris,bilamellata,"added Aug, 2012 based on SSSC data"
NC_RockyIt,opalia spp.,,,,,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Epitoniidae,opalia,spp,
NC_RockyIt,Other green algae,,,,,Plantae,Heterokontophyta,,,,,,
NC_RockyIt,Other red algae,,,,,Plantae,Rhodophyta,,,,,,
NC_RockyIt,Other substrate,,,,,,,,,,,,
NC_RockyIt,pachycheles spp,,,,,Animalia,Arthropoda,Malacostraca,Decapoda,Porcellanidae,pachycheles,spp,
NC_RockyIt,pachygrapsus crassipes,,,,,Animalia,Arthropoda,Malacostraca,Decapoda,Grapsidae,pachygrapsus,crassipes,
NC_RockyIt,pachygrapsus crassipes and hemigrapsus nudus recruits,,,,,Animalia,Arthropoda,Malacostraca,Decapoda,,,,
NC_RockyIt,pagurus beringanus,,,,,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,pagurus,beringanus,"Depending on the experience of the sampler (and the number of Pagurus in the plot), either a). all Pagurus species are identified, or b). only the 1st 10 hermit crabs encountered are identified to species, then percentages are assigned to the total number counted based on the ratios of these 1st 10. All calculations should be done on the field datasheet with totals only entered into the spreadsheet"
NC_RockyIt,pagurus granosimanus,,,,,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,pagurus,granosimanus,"Depending on the experience of the sampler (and the number of Pagurus in the plot), either a). all Pagurus species are identified, or b). only the 1st 10 hermit crabs encountered are identified to species, then percentages are assigned to the total number counted based on the ratios of these 1st 10. All calculations should be done on the field datasheet with totals only entered into the spreadsheet"
NC_RockyIt,pagurus hirsutiusculus,,,,,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,pagurus,hirsutiusculus,"Depending on the experience of the sampler (and the number of Pagurus in the plot), either a). all Pagurus species are identified, or b). only the 1st 10 hermit crabs encountered are identified to species, then percentages are assigned to the total number counted based on the ratios of these 1st 10. All calculations should be done on the field datasheet with totals only entered into the spreadsheet"
NC_RockyIt,pagurus samuelis,,,,,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,pagurus,samuelis,"Depending on the experience of the sampler (and the number of Pagurus in the plot), either a). all Pagurus species are identified, or b). only the 1st 10 hermit crabs encountered are identified to species, then percentages are assigned to the total number counted based on the ratios of these 1st 10. All calculations should be done on the field datasheet with totals only entered into the spreadsheet"
NC_RockyIt,pagurus spp,,,,,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,pagurus,spp,"use for pagurus not identified to species, NOT as a sum of all species"
NC_RockyIt,Pelvetiopsis limitata,,,,,Plantae,Heterokontophyta,Phaeophyceae,Fucales,Fucaceae,pelvetiopsis,limitata,
NC_RockyIt,petrolisthes spp,,,,,Animalia,Arthropoda,Malacostraca,Decapoda,Porcellanidae,petrolisthes,spp,
NC_RockyIt,phyllospadix scouleri/torreyi overstory,,,,,Plantae,Magnoliophyta,Liliopsida,Najadales,Zosteraceae,phyllospadix,spp,
NC_RockyIt,pisaster brevispinus,,,,,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,pisaster,brevispinus,
NC_RockyIt,pisaster giganteus,,,,,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,pisaster,giganteus,
NC_RockyIt,pisaster ochraceus,,,,,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,pisaster,ochraceus,
NC_RockyIt,postelsia palmaeformis,,,,,Plantae,Heterokontophyta,Phaeophyceae,Laminariales,Lessoniaceae,postelsia,palmaeformis,
NC_RockyIt,pugettia spp,,,,,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,pugettia,spp,
NC_RockyIt,pycnopodia helianthoides,,,,,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,pycnopodia,helianthoides,
NC_RockyIt,Rock,,,,,,,,,,,,
NC_RockyIt,Sand,,,,,,,,,,,,
NC_RockyIt,strongylocentrotus franciscanus,,,,,,Animalia,Echinodermata,Echinoidea,Strongylocentrotidae,strongylocentrotus,franciscanus,
NC_RockyIt,strongylocentrotus purpuratus,,,,,Animalia,Echinodermata,Echinoidea,Echinoida,Strongylocentrotidae,strongylocentrotus,purpuratus,
NC_RockyIt,tegula aureotincta,,,,,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Trochidae,tegula,aureotincta,
NC_RockyIt,tegula brunnea,,,,,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Trochidae,tegula,brunnea,
NC_RockyIt,tegula eiseni,,,,,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Trochidae,tegula,eiseni,
NC_RockyIt,tegula funebralis,,,,,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Trochidae,tegula,funebralis,
NC_RockyIt,tegula gallina,,,,,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Trochidae,tegula,gallina,
NC_RockyIt,Tetraclita rubescens,,,,,Animalia,Arthropoda,Maxillopoda,Sessilia,Tetraclitidae,tetraclita,rubescens,
NC_RockyIt,tonicella spp,,,,,Animalia,Mollusca,Polyplacophora,Neoloricata,Ischnochitonidae,tonicella,spp,added 05/09 b/c of high abundance in WA
NC_RockyIt,acanthina spp,,,,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,acanthinucella,spp,
NC_RockyIt,Balanus,,,,,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,balanus,glandula,
NC_RockyIt,Byssal threads,,,,,,,,,,,,attached byssal threads from Mytilus spp.
NC_RockyIt,chthamalus dalli/fissus,,,,,Animalia,Arthropoda,Maxillopoda,Sessilia,Chthamaloidea,chthamalus,dalli/fissus,
NC_RockyIt,chthamalus dalli-dead,,,,,Animalia,Arthropoda,Maxillopoda,Sessilia,Chthamaloidea,chthamalus,dalli/fissus,
NC_RockyIt,Cladophora spp.,,,,,Plantae,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,cladophora,,
NC_RockyIt,cryptopleura/hymenena spp,,,,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,cryptopleura/hymenena,spp,
NC_RockyIt,Dead balanus,,,,,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,balanus,glandula,
NC_RockyIt,Endocladia,,,,,Plantae,Rhodophyta,Rhodophyceae,Cryptonemiales,Endocladiaceae,endocladia,muricata,
NC_RockyIt,Filamentous red ,,,,,Plantae,Rhodophyta,Rhodophyceae,,,,,"Red filamentous algae that can't be Ided but may include Polysiphonia, Caithamnion, etc."
NC_RockyIt,Fucus distichus,,,,,Plantae,Heterokontophyta,Phaeophyceae,Fucales,Fucaceae,fucus,distichus,
NC_RockyIt,Laminaria,,,,,Plantae,Heterokontophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,spp,
NC_RockyIt,lepidochitona hartwegii,,,,,Animalia,Mollusca,Polyplacophora,Neoloricata,Lepidochitonidae,lepidochitona,hartwegii,
NC_RockyIt,Limpet,,,,,Animalia,Mollusca,,,,,,
NC_RockyIt,limpets over 15 mm in size on any substrate/organism,,,,,Animalia,Mollusca,,,,,,consolidated large limpets (except for Lottia gigantea) on rock/mussel as of 10/2008. Removed separate CSUF limpet categories by species as of 11/2008 - they will lump to LIMPLG from now on. Lottia gigantea is recorded separately.
NC_RockyIt,Littorine,,,,,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Littorinidae,littorina,,
NC_RockyIt,Mazzaella spp.,,,,,Plantae,Rhodophyta,Rhodophyceae,Gigartinales,Gigartinaceae,mazzaella,spp,
NC_RockyIt,Mytilus,,,,,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,mytilus,californianus,
NC_RockyIt,Mytilus-dead,,,,,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,mytilus,californianus,
NC_RockyIt,Nucella,,,,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,nucella,spp,
NC_RockyIt,Odanthalia,,,,,Plantae,Rhodophyta,Rhodophyceae,Ceramiales,Rhodomelaceae,odonthalia,spp,
NC_RockyIt,Phragmatopoma spp.,,,,,Animalia,Annelida,Polychaeta,Canalipalpata,Sabellariidae,,,Any sand tube building worm
NC_RockyIt,Phyllospadix spp.,,,,,Plantae,Magnoliophyta,Liliopsida,Najadales,Zosteraceae,phyllospadix,spp.,
NC_RockyIt,Pollicipes,,,,,Animalia,Arthropoda,Maxillopoda,Pedunculata,Pollicipedidae,pollicipes,polymerus,
NC_RockyIt,Porphyra spp.,,,,,Plantae,Rhodophyta,Rhodophyceae,Bangiales,Bangiaceae,porphyra,spp,
NC_RockyIt,Postelsia,,,,,Plantae,Heterokontophyta,Phaeophyceae,Laminariales,Lessoniaceae,postelsia,palmaeformis,
NC_RockyIt,Prionitis spp.,,,,,Plantae,Rhodophyta,Rhodophyceae,Cryptonemiales,Cryptonemiaceae,prionitis,spp,
NC_RockyIt,Semibalanus,,,,,Animalia,Arthropoda,Maxillopoda,Sessilia,Archaeobalanidae,semibalanus,cariosus,
NC_RockyIt,Semibalanus-dead,,,,,Animalia,Arthropoda,Maxillopoda,Sessilia,Archaeobalanidae,semibalanus,cariosus,
NC_RockyIt,Sponge,,,,,Animalia,Porifera,,,,,,
NC_RockyIt,Terrestrial debris,,,,,,,,,,,,Any land plant that has drifted onto plot
NC_RockyIt,Ulva spp.,,,,,Plantae,Chlorophyta,Ulvophyceae,Ulotrichaels,Ulvaceae,ulva,spp,
NC_RockyIt,Wormtube,,,,,Animalia,Annelida,Polychaeta,Canalipalpata,Sabellariidae,,,